id,center,availability,coefficient,total_dots,dot_ids,dot_coordinates,grids_ind_to_ind_distances,distance_avg,space_mean_speed,grid_density
295,"[84.0, 110.85125168440814]",t,1,0,[],[],[],0,,0
296,"[96.0, 110.85125168440814]",t,1,0,[],[],[],0,,0
297,"[6.0, 114.31535329954589]",t,1,0,[],[],[],0,,0
298,"[18.0, 114.31535329954589]",t,1,0,[],[],[],0,,0
299,"[30.0, 114.31535329954589]",t,1,0,[],[],[],0,,0
300,"[42.0, 114.31535329954589]",f,Infinity,0,[],[],[],0,,0
301,"[54.0, 114.31535329954589]",t,1,0,[],[],[],0,,0
302,"[66.0, 114.31535329954589]",t,1,0,[],[],[],0,,0
303,"[78.0, 114.31535329954589]",t,1,0,[],[],[],0,,0
304,"[90.0, 114.31535329954589]",t,1,0,[],[],[],0,,0
305,"[102.0, 114.31535329954589]",t,1,0,[],[],[],0,,0
306,"[0.0, 117.77945491468365]",f,Infinity,0,[],[],[],0,,0
307,"[12.0, 117.77945491468365]",t,1,0,[],[],[],0,,0
308,"[24.0, 117.77945491468365]",t,1,0,[],[],[],0,,0
309,"[36.0, 117.77945491468365]",f,Infinity,0,[],[],[],0,,0
310,"[48.0, 117.77945491468365]",t,1,0,[],[],[],0,,0
311,"[60.0, 117.77945491468365]",t,1,0,[],[],[],0,,0
312,"[72.0, 117.77945491468365]",t,1,0,[],[],[],0,,0
313,"[84.0, 117.77945491468365]",t,1,0,[],[],[],0,,0
314,"[96.0, 117.77945491468365]",t,1,0,[],[],[],0,,0
315,"[6.0, 121.2435565298214]",f,Infinity,0,[],[],[],0,,0
316,"[18.0, 121.2435565298214]",f,Infinity,0,[],[],[],0,,0
317,"[30.0, 121.2435565298214]",f,Infinity,0,[],[],[],0,,0
318,"[42.0, 121.2435565298214]",f,Infinity,0,[],[],[],0,,0
319,"[54.0, 121.2435565298214]",t,1,0,[],[],[],0,,0
320,"[66.0, 121.2435565298214]",t,1,0,[],[],[],0,,0
321,"[78.0, 121.2435565298214]",t,1,0,[],[],[],0,,0
322,"[90.0, 121.2435565298214]",t,1,0,[],[],[],0,,0
323,"[102.0, 121.2435565298214]",t,1,0,[],[],[],0,,0
324,"[0.0, 124.70765814495915]",f,Infinity,0,[],[],[],0,,0
325,"[12.0, 124.70765814495915]",f,Infinity,0,[],[],[],0,,0
326,"[24.0, 124.70765814495915]",f,Infinity,0,[],[],[],0,,0
327,"[36.0, 124.70765814495915]",f,Infinity,0,[],[],[],0,,0
328,"[48.0, 124.70765814495915]",t,1,0,[],[],[],0,,0
329,"[60.0, 124.70765814495915]",t,1,0,[],[],[],0,,0
330,"[72.0, 124.70765814495915]",t,1,0,[],[],[],0,,0
331,"[84.0, 124.70765814495915]",t,1,0,[],[],[],0,,0
332,"[96.0, 124.70765814495915]",t,1,0,[],[],[],0,,0
333,"[6.0, 128.1717597600969]",t,1,0,[],[],[],0,,0
334,"[18.0, 128.1717597600969]",t,1,0,[],[],[],0,,0
335,"[30.0, 128.1717597600969]",t,1,0,[],[],[],0,,0
336,"[42.0, 128.1717597600969]",t,1,0,[],[],[],0,,0
337,"[54.0, 128.1717597600969]",t,1,0,[],[],[],0,,0
338,"[66.0, 128.1717597600969]",t,1,0,[],[],[],0,,0
339,"[78.0, 128.1717597600969]",t,1,0,[],[],[],0,,0
340,"[90.0, 128.1717597600969]",t,1,0,[],[],[],0,,0
341,"[102.0, 128.1717597600969]",t,1,0,[],[],[],0,,0
